participant_id	age	sex	group
sub-GLS003	34	M	modular
sub-GLS004	19	M	modular
sub-GLS005	34	F	lattice
sub-GLS006	34	M	lattice
sub-GLS008	26	F	modular
sub-GLS009	34	M	lattice
sub-GLS010	34	M	modular
sub-GLS011	23	F	modular
sub-GLS013	27	F	modular
sub-GLS014	20	F	lattice
sub-GLS017	25	F	lattice
sub-GLS018	18	M	modular
sub-GLS019	33	F	modular
sub-GLS020	34	F	lattice
sub-GLS021	34	F	lattice
sub-GLS022	22	M	modular
sub-GLS023	34	F	modular
sub-GLS024	34	F	lattice
sub-GLS025	34	M	modular
sub-GLS026	34	F	modular
sub-GLS027	34	F	lattice
sub-GLS028	34	F	lattice
sub-GLS030	34	F	lattice
sub-GLS033	34	M	lattice
sub-GLS034	34	F	lattice
sub-GLS037	34	F	modular
sub-GLS038	34	F	modular
sub-GLS039	34	F	modular
sub-GLS040	34	F	lattice
sub-GLS043	34	F	lattice
sub-GLS044	27	F	modular
sub-GLS045	34	M	lattice
